-3.992556631565093994e-01,4.496897570788860321e-03,2.776610851287841797e-01,4.719247817993164062e-01
-1.042956933379173279e-01,-8.021622896194458008e-02,-1.563060581684112549e-01,3.211973011493682861e-01
-4.641474187374114990e-01,2.000468820333480835e-01,-1.322724968194961548e-01,3.256555199623107910e-01
1.177320033311843872e-01,-1.597483903169631958e-01,-2.540117204189300537e-01,8.987323194742202759e-02
2.563794143497943878e-03,2.657330036163330078e-01,3.228963315486907959e-01,-4.401966929435729980e-01
-2.570578753948211670e-01,-4.888152331113815308e-02,-3.608420789241790771e-01,2.917871773242950439e-01
3.452670872211456299e-01,-5.025292038917541504e-01,2.808831334114074707e-01,2.105502933263778687e-01
2.927858382463455200e-02,1.005518659949302673e-01,5.401999503374099731e-02,4.394379258155822754e-01
3.239099681377410889e-01,-9.471677988767623901e-02,-2.766293287277221680e-01,1.046900600194931030e-01
-4.168469011783599854e-01,4.198366105556488037e-01,3.181781470775604248e-01,1.425768285989761353e-01
4.837974011898040771e-01,-5.194638967514038086e-01,3.819891214370727539e-01,2.969042956829071045e-01
1.461005210876464844e-01,-2.515255101025104523e-02,1.870767027139663696e-01,-3.308385014533996582e-01
-4.264869093894958496e-01,-2.595669925212860107e-01,3.158451020717620850e-01,-2.697132527828216553e-01
-5.511744320392608643e-02,2.904777526855468750e-01,4.883869886398315430e-01,2.097687274217605591e-01
-1.359372735023498535e-01,4.442739188671112061e-01,-1.096751093864440918e-01,-7.240706682205200195e-02
-1.583002856932580471e-03,3.590617477893829346e-01,-1.832221001386642456e-01,3.495160341262817383e-01
-6.425490230321884155e-02,-3.588562309741973877e-01,3.716505765914916992e-01,-1.581906080245971680e-01
-4.478090442717075348e-03,2.982795238494873047e-01,-3.375305533409118652e-01,-2.342873811721801758e-01
2.821622490882873535e-01,-1.606958359479904175e-02,-5.010989028960466385e-03,1.872644424438476562e-01
1.679047942161560059e-01,5.243860483169555664e-01,2.562139630317687988e-01,-1.737143993377685547e-01
2.741382420063018799e-01,2.119344919919967651e-01,4.074203372001647949e-01,-3.563968241214752197e-01
-2.227752357721328735e-01,4.548924043774604797e-02,3.839479982852935791e-01,1.331384945660829544e-02
5.904251337051391602e-02,-1.698552370071411133e-01,-2.407133430242538452e-01,-1.568446308374404907e-01
4.303015470504760742e-01,-4.029119014739990234e-01,-7.790122926235198975e-02,1.870696991682052612e-01
2.224859595298767090e-01,2.041669329628348351e-03,-3.323993682861328125e-01,1.248891875147819519e-01
-2.254409193992614746e-01,-4.610788077116012573e-02,3.863154947757720947e-01,8.660701662302017212e-02
1.186925694346427917e-01,3.825163468718528748e-02,2.175334990024566650e-01,4.291494376957416534e-03
2.716188430786132812e-01,1.289567500352859497e-01,-2.014422602951526642e-02,-2.818492949008941650e-01
1.477932333946228027e-01,-3.768846094608306885e-01,5.417599901556968689e-02,6.812249124050140381e-02
2.416100203990936279e-01,-2.080768793821334839e-01,-4.920256137847900391e-01,6.051357835531234741e-02
3.944418206810951233e-02,-4.491006731986999512e-01,-7.954556494951248169e-02,-2.164935171604156494e-01
-4.598137438297271729e-01,5.235260725021362305e-01,-4.517123699188232422e-01,-2.981524765491485596e-01
-1.502046287059783936e-01,6.352760642766952515e-02,-3.432463407516479492e-01,5.347297787666320801e-01
-2.435758560895919800e-01,4.062361717224121094e-01,2.413996122777462006e-02,-7.404384762048721313e-02
-9.289213269948959351e-02,4.037662148475646973e-01,7.143812626600265503e-02,-3.682739734649658203e-01
